-- LOGS -- 2024-01-29 14:27:28.434089 -- 
14:27:33 - Created data for User finplayer8
14:27:33 - f1shy312 got +10 pts for chatting | Updated: 5370 | MESSAGE: finplayer8 pressed G to drop
14:27:56 - finplayer8 got +10 pts for chatting | Updated: 10 | MESSAGE: !ability3
14:27:57 - f1shy312 got +10 pts for chatting | Updated: 5380 | MESSAGE: finplayer8 activated Ability 3
14:28:06 - finplayer8 got +10 pts for chatting | Updated: 20 | MESSAGE: !ability2
14:28:06 - f1shy312 got +10 pts for chatting | Updated: 5390 | MESSAGE: finplayer8 activated Ability 2
14:28:11 - finplayer8 got +10 pts for chatting | Updated: 30 | MESSAGE: !ability1
14:28:11 - f1shy312 got +10 pts for chatting | Updated: 5400 | MESSAGE: finplayer8 activated Ability 1
14:28:23 - finplayer8 got +10 pts for chatting | Updated: 40 | MESSAGE: !drop
14:28:24 - f1shy312 got +10 pts for chatting | Updated: 5410 | MESSAGE: finplayer8 pressed G to drop
14:28:47 - finplayer8 got +10 pts for chatting | Updated: 50 | MESSAGE: !ability3
14:28:47 - f1shy312 got +10 pts for chatting | Updated: 5420 | MESSAGE: finplayer8 activated Ability 3
14:28:51 - finplayer8 got +10 pts for chatting | Updated: 60 | MESSAGE: !ability1
14:28:51 - f1shy312 got +10 pts for chatting | Updated: 5430 | MESSAGE: finplayer8 activated Ability 1
14:29:38 - finplayer8 got +10 pts for chatting | Updated: 70 | MESSAGE: !drop
14:29:38 - f1shy312 got +10 pts for chatting | Updated: 5440 | MESSAGE: finplayer8 pressed G to drop
14:29:50 - finplayer8 got +10 pts for chatting | Updated: 80 | MESSAGE: !ability3
14:29:50 - f1shy312 got +10 pts for chatting | Updated: 5450 | MESSAGE: finplayer8 activated Ability 3
14:29:54 - finplayer8 got +10 pts for chatting | Updated: 90 | MESSAGE: !ability2
14:29:55 - f1shy312 got +10 pts for chatting | Updated: 5460 | MESSAGE: finplayer8 activated Ability 2
14:31:01 - finplayer8 got +10 pts for chatting | Updated: 100 | MESSAGE: !ability1
14:31:01 - f1shy312 got +10 pts for chatting | Updated: 5470 | MESSAGE: finplayer8 activated Ability 1
14:31:46 - finplayer8 got +10 pts for chatting | Updated: 110 | MESSAGE: !drop
14:31:46 - f1shy312 got +10 pts for chatting | Updated: 5480 | MESSAGE: finplayer8 pressed G to drop
14:32:09 - finplayer8 got +10 pts for chatting | Updated: 120 | MESSAGE: !ability3
14:32:09 - f1shy312 got +10 pts for chatting | Updated: 5490 | MESSAGE: finplayer8 activated Ability 3
14:34:16 - finplayer8 got +10 pts for chatting | Updated: 130 | MESSAGE: !drop
14:34:16 - f1shy312 got +10 pts for chatting | Updated: 5500 | MESSAGE: finplayer8 pressed G to drop
14:35:11 - finplayer8 got +10 pts for chatting | Updated: 140 | MESSAGE: !ability2
14:35:11 - f1shy312 got +10 pts for chatting | Updated: 5510 | MESSAGE: finplayer8 activated Ability 2
14:35:30 - finplayer8 got +10 pts for chatting | Updated: 150 | MESSAGE: !ability3
14:35:30 - f1shy312 got +10 pts for chatting | Updated: 5520 | MESSAGE: finplayer8 activated Ability 3
14:35:47 - finplayer8 got +10 pts for chatting | Updated: 160 | MESSAGE: !ability1
14:35:47 - f1shy312 got +10 pts for chatting | Updated: 5530 | MESSAGE: finplayer8 activated Ability 1
14:36:32 - finplayer8 got +10 pts for chatting | Updated: 170 | MESSAGE: !ability3
14:36:33 - f1shy312 got +10 pts for chatting | Updated: 5540 | MESSAGE: finplayer8 activated Ability 3
14:36:48 - finplayer8 got +10 pts for chatting | Updated: 180 | MESSAGE: !ability2
14:36:48 - f1shy312 got +10 pts for chatting | Updated: 5550 | MESSAGE: finplayer8 activated Ability 2
14:37:00 - finplayer8 got +10 pts for chatting | Updated: 190 | MESSAGE: !ability1
14:37:01 - f1shy312 got +10 pts for chatting | Updated: 5560 | MESSAGE: finplayer8 activated Ability 1
14:37:47 - finplayer8 got +10 pts for chatting | Updated: 200 | MESSAGE: VoteYea
14:59:10 - f1shy312 got +10 pts for chatting | Updated: 5570 | MESSAGE: !leaderboard
15:00:41 - f1shy312 got +10 pts for chatting | Updated: 5580 | MESSAGE: !leaderboard
